State,ZIP,Access Code,Latitude,Longitude
CA,91352,private,34.24831915,-118.3879714
CA,90024,private,34.052542,-118.448504
CA,90015,public,34.040539,-118.271387
CA,90012,private,34.059133,-118.248589
CA,90803,private,33.759802,-118.096665
CA,95814,private,38.576769,-121.495022
CA,90744,private,33.770508,-118.265628
CA,91342,private,34.30309,-118.480505
CA,90012,private,34.066801,-118.227605
CA,90016,private,34.036777,-118.368841
CA,91731,public,34.06872,-118.064
CA,90013,private,34.039736,-118.236065
CA,92037,public,32.89947,-117.243
CA,91343,public,34.221665,-118.468371
CA,92503,public,33.909914,-117.459053
CA,91103,public,34.14762,-118.147111
CA,91105,public,34.145138,-118.152655
CA,91105,public,34.145119,-118.150133
CA,91101,public,34.142973,-118.140553
CA,91030,public,34.118433,-118.149597
CA,90802,public,33.7637,-118.192
CA,90045,public,33.94325,-118.403342
CA,91324,public,34.241116,-118.556708
CA,91764,public,34.07122,-117.575
CA,93030,public,34.228315,-119.170865
CA,92262,public,33.824004,-116.543589
CA,94588,public,37.700187,-121.876172
CA,92509,public,34.0189,-117.38
CA,95837,public,38.69005,-121.58889
CA,90405,public,34.017081,-118.44704
CA,90405,public,34.010021,-118.49583
CA,91423,public,34.156839,-118.434454
CA,91608,public,34.138717,-118.35904
CA,91405,public,34.21108,-118.448704
CA,90241,public,33.94756,-118.153806
CA,94133,public,37.80619,-122.4152
CA,95815,public,38.599693,-121.427045
CA,94115,public,37.784912,-122.430237
CA,94105,public,37.78881,-122.401
CA,94108,public,37.791791,-122.411265
CA,90048,public,34.076264,-118.377527
CA,90012,public,34.057657,-118.24789
CA,91436,public,34.169242,-118.497212
CA,91330,public,34.248959,-118.523887
CA,91330,public,34.241687,-118.528543
CA,91330,public,34.236853,-118.532588
CA,91324,public,34.229277,-118.544827
CA,90731,public,33.740758,-118.28192
CA,91342,public,34.2924134,-118.4497914
CA,90049,public,34.077588,-118.474585
CA,91007,public,34.145528,-118.050548
CA,91741,public,34.13556,-117.864
CA,90230,public,33.9826,-118.3966
CA,90034,public,34.029971,-118.385231
CA,92705,public,33.777054,-117.870566
CA,93012,public,34.16657602,-119.0458547
CA,92821,public,33.919899,-117.898618
CA,91320,public,34.192178,-118.934793
CA,93022,public,34.418322,-119.3368
CA,91773,public,34.105275,-117.809208
CA,91101,public,34.147709,-118.136621
CA,93009,public,34.267352,-119.2124
CA,93003,public,34.268756,-119.2154
CA,93003,public,34.268,-119.2492
CA,90293,private,33.917593,-118.425334
CA,91706,private,34.089085,-117.95463
CA,90242,private,33.92364288,-118.1678308
CA,90280,private,33.930663,-118.175758
CA,95616,public,38.539336,-121.732405
CA,93401,private,35.25939,-120.64492
CA,95061,public,36.973393,-122.024849
CA,90744,private,33.773005,-118.265821
CA,95628,public,38.66292,-121.2634
CA,95816,public,38.57277,-121.467902
CA,95843,public,38.7042,-121.365
CA,95833,private,38.615468,-121.517263
CA,95817,public,38.552483,-121.4487
CA,95822,public,38.524403,-121.5112
CA,95667,public,38.73323,-120.78962
CA,95687,public,38.356027,-121.9628
CA,95688,public,38.36557,-121.967
CA,95688,public,38.35172,-121.987
CA,95688,public,38.356907,-122.001886
CA,95688,public,38.355867,-121.9862
CA,95688,public,38.351758,-121.994475
CA,95621,public,38.682605,-121.297614
CA,95620,public,38.457369,-121.842567
CA,95667,public,38.72799,-120.828
CA,95762,public,38.6476,-121.067
CA,95758,private,38.40553,-121.391
CA,95746,public,38.74453,-121.17
CA,95608,public,38.618066,-121.334337
VT,5403,public,44.469281,-73.154972
CA,94571,public,38.15485,-121.69
CA,94533,public,38.25281,-122.044229
CA,94534,public,38.23723,-122.123
CA,94590,public,38.105062,-122.265895
CA,90045,public,33.944761,-118.399767
CA,95688,private,38.35109,-121.993654
CA,95831,private,38.578568,-121.491058
VT,5403,public,44.469281,-73.154972
CA,90026,private,34.059047,-118.256812
CA,90015,private,34.033898,-118.256673
CA,90031,private,34.081998,-118.21713
CA,90744,private,33.799476,-118.257977
CA,91405,private,34.208708,-118.444358
CA,91352,private,34.241928,-118.390147
WA,98503,public,47.044011,-122.822404
OR,97214,public,45.508396,-122.664667
CA,95482,public,39.15,-123.2091
CA,95688,public,38.368755,-121.961192
CA,95603,public,38.9412492,-121.1054805
