COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE
California,2015–2016,Total population,All ages,0.08695800000000001
Alameda,2015–2016,Total population,All ages,0.090542
Alpine,2015–2016,Total population,All ages,0.09300000000000001
Amador,2015–2016,Total population,All ages,0.09300000000000001
Butte,2015–2016,Total population,All ages,0.094291
Calaveras,2015–2016,Total population,All ages,0.09300000000000001
Colusa,2015–2016,Total population,All ages,0.073319
Contra Costa,2015–2016,Total population,All ages,0.121384
Del Norte,2015–2016,Total population,All ages,0.072205
El Dorado,2015–2016,Total population,All ages,0.120913
Fresno,2015–2016,Total population,All ages,0.11272399999999999
Glenn,2015–2016,Total population,All ages,0.073319
Humboldt,2015–2016,Total population,All ages,0.12465
Imperial,2015–2016,Total population,All ages,0.12148099999999999
Inyo,2015–2016,Total population,All ages,0.09300000000000001
Kern,2015–2016,Total population,All ages,0.16674499999999998
Kings,2015–2016,Total population,All ages,0.157606
Lake,2015–2016,Total population,All ages,0.173321
Lassen,2015–2016,Total population,All ages,0.072205
Los Angeles,2015–2016,Total population,All ages,0.077986
Madera,2015–2016,Total population,All ages,0.103315
Marin,2015–2016,Total population,All ages,0.06784799999999999
Mariposa,2015–2016,Total population,All ages,0.09300000000000001
Mendocino,2015–2016,Total population,All ages,0.09304899999999999
Merced,2015–2016,Total population,All ages,0.10256399999999999
Modoc,2015–2016,Total population,All ages,0.072205
Mono,2015–2016,Total population,All ages,0.09300000000000001
Monterey,2015–2016,Total population,All ages,0.08843400000000001
Napa,2015–2016,Total population,All ages,
Nevada,2015–2016,Total population,All ages,0.062151
Orange,2015–2016,Total population,All ages,0.066997
Placer,2015–2016,Total population,All ages,0.08446899999999999
Plumas,2015–2016,Total population,All ages,0.072205
Riverside,2015–2016,Total population,All ages,0.10184100000000001
Sacramento,2015–2016,Total population,All ages,0.09580399999999999
San Benito,2015–2016,Total population,All ages,0.053183999999999995
San Bernardino,2015–2016,Total population,All ages,0.106327
San Diego,2015–2016,Total population,All ages,0.071123
San Francisco,2015–2016,Total population,All ages,0.07660499999999999
San Joaquin,2015–2016,Total population,All ages,0.075155
San Luis Obispo,2015–2016,Total population,All ages,0.059221
San Mateo,2015–2016,Total population,All ages,0.11444000000000001
Santa Barbara,2015–2016,Total population,All ages,0.062308
Santa Clara,2015–2016,Total population,All ages,0.059718
Santa Cruz,2015–2016,Total population,All ages,0.113016
Shasta,2015–2016,Total population,All ages,0.07349599999999999
Sierra,2015–2016,Total population,All ages,0.072205
Siskiyou,2015–2016,Total population,All ages,0.072205
Solano,2015–2016,Total population,All ages,0.132879
Sonoma,2015–2016,Total population,All ages,0.08050700000000001
Stanislaus,2015–2016,Total population,All ages,0.133652
Sutter,2015–2016,Total population,All ages,0.080689
Tehama,2015–2016,Total population,All ages,0.073319
Trinity,2015–2016,Total population,All ages,0.072205
Tulare,2015–2016,Total population,All ages,0.086089
Tuolumne,2015–2016,Total population,All ages,0.09300000000000001
Ventura,2015–2016,Total population,All ages,0.066695
Yolo,2015–2016,Total population,All ages,0.066078
Yuba,2015–2016,Total population,All ages,0.147806
California,2015–2016,Child vs. adult,0–17 years,0.101036
Alameda,2015–2016,Child vs. adult,0–17 years,0.15140599999999999
Alpine,2015–2016,Child vs. adult,0–17 years,
Amador,2015–2016,Child vs. adult,0–17 years,
Butte,2015–2016,Child vs. adult,0–17 years,
Calaveras,2015–2016,Child vs. adult,0–17 years,
Colusa,2015–2016,Child vs. adult,0–17 years,
Contra Costa,2015–2016,Child vs. adult,0–17 years,
Del Norte,2015–2016,Child vs. adult,0–17 years,
El Dorado,2015–2016,Child vs. adult,0–17 years,
Fresno,2015–2016,Child vs. adult,0–17 years,0.106506
Glenn,2015–2016,Child vs. adult,0–17 years,
Humboldt,2015–2016,Child vs. adult,0–17 years,
Imperial,2015–2016,Child vs. adult,0–17 years,0.190611
Inyo,2015–2016,Child vs. adult,0–17 years,
Kern,2015–2016,Child vs. adult,0–17 years,0.259667
Kings,2015–2016,Child vs. adult,0–17 years,
Lake,2015–2016,Child vs. adult,0–17 years,
Lassen,2015–2016,Child vs. adult,0–17 years,
Los Angeles,2015–2016,Child vs. adult,0–17 years,0.100932
Madera,2015–2016,Child vs. adult,0–17 years,
Marin,2015–2016,Child vs. adult,0–17 years,
Mariposa,2015–2016,Child vs. adult,0–17 years,
