County,Biomass,Small Hydro,Geothermal,Solar Thermal,Solar Photovoltaic ,Wind,Total,
Alameda,116,,,,29,764,909,
Amador,,78,,,2,,80,
Butte,3,225,,,16,,244,
Calaveras,,202,,,3,,205,
Colusa,188,,,,,,188,
Contra Costa,31,,,,83,88,201,
El Dorado,,190,,,,,190,
Fresno,188,22,,,1981,,2190,
Glen,,14,,,4,,18,
Humboldt,190,,,,16,,205,
Imperial,,218,3694,,3733,595,8239,
Inyo,,432,1177,,,,1609,
Kern,326,259,,,7086,7476,15147,
Kings,,,,,1087,,1087,
Lake,,8,1120,,5,,1134,
Lassen,188,83,,,6,,278,
Las Angeles,837,526,,,2734,5,4101,
Madera,72,238,,,51,,361,
Marin,28,,,,4,,32,
Mariposa,,46,,,,,46,
Mendocino,,33,,,12,,45,
Merced,47,20,,,327,14,407,
Mono,,87,208,,,,295,
Montery,55,,,,360,12,427,
Napa,,,,,3,,3,
Nevada,,303,,,,,303,
Orange,499,22,,,5,,526,
Placer,292,354,,,8,,653,
Plumas,160,7,,,,,167,
Riverside,356,42,,617,2775,1522,5311,
Sacramento,115,40,,,283,,438,
San Benito,,,,,393,,393,
San Bernandino,,95,,1686,1520,7,3308,
San Diego,160,16,,,342,556,1074,
San Francisco,3,,,,23,,25,
San Joaguin,439,62,,,66,5,572,
San Luis Obispo,11,13,,,2209,,2234,
San Mateo,87,,,,,,87,
Santa Barbara,32,,,,104,,136,
Santa Clara,14,,,,48,,62,
Santa Cruz,29,,,,2,,31,
Shasta,710,320,,,14,252,1297,
Sierra,,28,,,,,28,
Siskiyou,49,323,,,,,371,
Solano,76,,,,42,2390,2507,
Sonoma ,37,,4744,,23,,4804,
Stanislaus,147,48,,,118,,313,
Sutter,,,,,4,,4,
Tehama,,43,,,12,2,57,
Trinity,,23,,,,,23,
Tulare,,100,,,737,,837,
Tuolumne,169,774,,,4,,947,
Ventura,6,2,,,6,,15,
Yolo,204,45,,,21,2,272,
Yuba,27,6,,,2,,34,
Total,5890,5349,10943,2303,26300,13688,64473,
