OBJECTID,COUNTY,Max_Voltage,Source,Owner,STATE,ZIP_CODE,Lon,Lat
1,Alameda County,115.0,CEC,Other,CA,94501,-122.2429162,37.77243572
2,Sonoma County,115.0,CEC,PG&E,CA,94954,-122.6573685,38.2650127
3,Alameda County,,CEC,PG&E,CA,94514,-121.6259513,37.77848161
4,Alameda County,60.0,CEC,PG&E,CA,94551,-121.6772083,37.7483765
5,Alameda County,230.0,CEC,PG&E,CA,94546,-122.0612774,37.69128098
6,Alameda County,115.0,CEC,PG&E,CA,94618,-122.2285851,37.84737346
7,Alameda County,115.0,CEC,Other,CA,94587,-122.0174353,37.59578193
8,Trinity County,60.0,CEC,PG&E,CA,95595,-123.5091868,40.09403073
9,Alameda County,115.0,CEC,PG&E,CA,94555,-122.05794,37.55699202
10,Alameda County,230.0,CEC,PG&E,CA,94545,-122.1166112,37.62507859
11,Alameda County,115.0,CEC,PG&E,CA,94603,-122.1937991,37.73868954
12,Alameda County,115.0,CEC,PG&E,CA,94538,-121.9619574,37.54136311
13,Alameda County,115.0,CEC,Other,CA,94538,-121.9394285,37.49369132
14,Alameda County,115.0,CEC,PG&E,CA,94579,-122.1595387,37.67126804
15,Alameda County,115.0,CEC,Other,CA,94720,-122.245764,37.876174
16,Alameda County,60.0,CEC,PG&E,CA,94566,-121.8318768,37.66794608
17,Alameda County,115.0,CEC,PG&E,CA,94587,-122.0174914,37.59531056
18,Alameda County,,CEC,Other,CA,94568,-121.9070045,37.70853376
19,Alameda County,230.0,CEC,PG&E,CA,94551,-121.7332445,37.70082423
20,Alameda County,60.0,CEC,PG&E,CA,94551,-121.7805048,37.68002781
21,Alameda County,,CEC,PG&E,CA,94545,-122.1018481,37.63206011
22,Alameda County,230.0,CEC,PG&E,CA,94538,-121.9862624,37.50087312
23,Alameda County,,CEC,PG&E,CA,94568,-121.8938504,37.71164362
24,Alameda County,60.0,CEC,PG&E,CA,94566,-121.859528,37.67255501
25,Alameda County,,CEC,PG&E,CA,94514,-121.6199438,37.79905699
26,San Mateo County,230.0,CEC,PG&E,CA,94025,-122.1379462,37.49296812
27,Alameda County,115.0,CEC,PG&E,CA,94578,-122.1481883,37.71062477
28,Alameda County,115.0,CEC,PG&E,CA,94621,-122.2144948,37.76299826
29,Alameda County,,CEC,PG&E,CA,94586,-121.869684,37.58690266
30,Alameda County,500.0,CEC,PG&E,CA,95377,-121.5648579,37.71239639
31,Alameda County,,CEC,PG&E,CA,94586,-121.842671,37.60924399
32,Alameda County,60.0,CEC,PG&E,CA,94551,-121.7158749,37.71111924
33,Alameda County,,CEC,PG&E,CA,94566,-121.8544376,37.66968929
34,Amador County,60.0,CEC,PG&E,CA,95685,-120.822098,38.408767
35,Amador County,60.0,CEC,PG&E,CA,95640,-120.9349804,38.34219061
36,Amador County,60.0,CEC,Other,CA,95640,-120.9575497,38.37390104
37,Amador County,,CEC,PG&E,CA,95640,-120.9138995,38.27717343
38,Amador County,60.0,CEC,PG&E,CA,95642,-120.796754,38.36910799
39,Amador County,,CEC,Other,CA,95685,-120.8054803,38.36863575
40,Amador County,60.0,CEC,PG&E,CA,95669,-120.8449436,38.48076425
41,Amador County,115.0,CEC,PG&E,CA,95666,-120.2184202,38.4984199
42,Amador County,60.0,CEC,PG&E,CA,95665,-120.6602339,38.4127977
43,San Joaquin County,115.0,CEC,PG&E,CA,95377,-121.4775277,37.71296547
44,Butte County,,CEC,PG&E,CA,95965,-121.5654854,39.48122633
45,Butte County,60.0,CEC,Other,CA,95948,-121.6856152,39.36471316
46,Butte County,,CEC,Other,CA,95965,-121.5747818,39.47437782
47,Butte County,,CEC,Other,CA,95917,-121.6886266,39.4087526
48,Santa Barbara County,115.0,CEC,PG&E,CA,93436,-120.4372802,34.64326979
49,Butte County,60.0,CEC,Other,CA,95973,-121.9196266,39.81095374
50,Butte County,,CEC,PG&E,CA,95914,-121.4031757,39.38767374
51,Butte County,115.0,CEC,PG&E,CA,95965,-121.4915179,39.67735464
52,Butte County,115.0,CEC,PG&E,CA,95928,-121.8133571,39.71220645
53,Butte County,,CEC,PG&E,CA,95928,-121.8209206,39.71884016
54,Butte County,115.0,CEC,PG&E,CA,95928,-121.8470758,39.72551493
55,Riverside County,,CEC,IID,CA,92276,-116.3674057,33.81774602
56,Butte County,115.0,CEC,PG&E,CA,95938,-121.7683336,39.60773551
57,Glenn County,,CEC,PG&E,CA,95951,-122.0113693,39.74641854
58,Butte County,115.0,CEC,PG&E,CA,95965,-121.5953277,39.32058027
59,Butte County,115.0,CEC,Other,CA,95966,-121.3055783,39.57518648
60,Butte County,115.0,CEC,PG&E,CA,95973,-121.9070486,39.7602408
61,Butte County,,CEC,PG&E,CA,95954,-121.6107851,39.87156253
62,Butte County,60.0,CEC,PG&E,CA,95965,-121.560155,39.50399795
63,Butte County,230.0,CEC,PG&E,CA,95966,-121.5176615,39.45434305
64,Butte County,,CEC,PG&E,CA,95969,-121.6187304,39.76066295
65,Butte County,,CEC,PG&E,CA,95948,-121.6850945,39.37824172
66,Butte County,115.0,CEC,PG&E,CA,95973,-121.8240284,39.76876106
67,Butte County,500.0,CEC,PG&E,CA,95965,-121.6447874,39.55528056
68,Butte County,115.0,CEC,PG&E,CA,95965,-121.6880242,39.48676454
69,Butte County,115.0,CEC,PG&E,CA,95966,-121.5409467,39.49170026
70,Calaveras County,60.0,CEC,Other,CA,95249,-120.6672277,38.16989692
71,Tuolumne County,,CEC,Other,CA,95310,-120.4221335,38.06981688
72,Calaveras County,60.0,CEC,PG&E,CA,95236,-120.9261759,38.10148065
73,Calaveras County,,CEC,PG&E,CA,95222,-120.5339711,38.0571528
74,Calaveras County,230.0,CEC,WAPA,CA,95222,-120.5362212,37.9446466
75,Calaveras County,115.0,CEC,PG&E,CA,95247,-120.4464194,38.14698707
76,Calaveras County,60.0,CEC,PG&E,CA,95249,-120.719348,38.19974699
77,Calaveras County,,CEC,PG&E,CA,95252,-120.7640105,38.21658506
78,Colusa County,60.0,CEC,PG&E,CA,95912,-122.0613948,39.01747968
79,Colusa County,60.0,CEC,PG&E,CA,95932,-122.0025503,39.21353467
80,Colusa County,,CEC,PG&E,CA,95987,-122.2233349,39.12054474
81,Colusa County,60.0,CEC,PG&E,CA,95912,-122.0433322,38.96982277
82,Colusa County,60.0,CEC,PG&E,CA,95912,-122.0704684,38.96922396
