AcresBurned,ArchiveYear,CalFireIncident,Counties
257314.0,2013,True,Tuolumne
30274.0,2013,True,Los Angeles
27531.0,2013,True,Riverside
27440.0,2013,False,Placer
24251.0,2013,True,Ventura
22992.0,2013,False,Fresno
20292.0,2013,True,Riverside
14754.0,2013,False,Siskiyou
12503.0,2013,False,Humboldt
11429.0,2013,True,Tehama
8073.0,2013,True,Shasta
7055.0,2013,True,San Diego
6965.0,2013,True,Tehama
4346.0,2013,True,Kern
4346.0,2013,True,Ventura
3505.0,2013,True,Sonoma
3166.0,2013,True,Riverside
3111.0,2013,True,Contra Costa
2781.0,2013,True,San Diego
2462.0,2013,True,Butte
2236.0,2013,False,San Diego
2060.0,2013,False,Tulare
1984.0,2013,False,Santa Barbara
1708.0,2013,True,Mariposa
1383.0,2013,True,Riverside
1271.0,2013,True,San Diego
1070.0,2013,False,Tuolumne
917.0,2013,False,Monterey
794.0,2013,False,Kern
712.0,2013,True,Kern
712.0,2013,True,Los Angeles
612.0,2013,True,Kern
572.0,2013,False,El Dorado
534.0,2013,True,San Bernardino
513.0,2013,False,Plumas
510.0,2013,True,Riverside
502.0,2013,True,Modoc
500.0,2013,False,San Luis Obispo
492.0,2013,True,Contra Costa
482.0,2013,True,Madera
413.0,2013,False,San Bernardino
406.0,2013,True,Inyo
376.0,2013,True,Napa
354.0,2013,True,San Benito
311.0,2013,True,Riverside
305.0,2013,True,Butte
303.0,2013,True,San Joaquin
298.0,2013,True,Butte
296.0,2013,True,Lake
274.0,2013,True,Contra Costa
274.0,2013,True,Madera
268.0,2013,False,Los Angeles
263.0,2013,True,San Diego
243.0,2013,False,San Bernardino
240.0,2013,True,Alameda
237.0,2013,True,Placer
226.0,2013,False,Glenn
217.0,2013,True,Glenn
213.0,2013,False,Monterey
200.0,2013,False,San Bernardino
200.0,2013,True,Tehama
196.0,2013,True,Shasta
195.0,2013,True,Tehama
190.0,2013,True,Napa
170.0,2013,True,Santa Barbara
163.0,2013,True,Yolo
163.0,2013,True,El Dorado
163.0,2013,True,Sacramento
159.0,2013,True,Sonoma
158.0,2013,True,Sonoma
150.0,2013,True,Alameda
150.0,2013,True,Riverside
150.0,2013,True,Stanislaus
150.0,2013,True,Fresno
150.0,2013,True,Butte
149.0,2013,True,Los Angeles
134.0,2013,False,Tulare
125.0,2013,True,Sonoma
124.0,2013,True,Solano
124.0,2013,True,Merced
124.0,2013,True,Riverside
120.0,2013,True,Lake
116.0,2013,True,El Dorado
110.0,2013,False,San Bernardino
108.0,2013,True,Fresno
105.0,2013,True,Monterey
100.0,2013,False,Los Angeles
100.0,2013,True,Tuolumne
100.0,2013,True,San Diego
98.0,2013,True,Mendocino
97.0,2013,False,Modoc
97.0,2013,False,San Bernardino
97.0,2013,True,Lassen
96.0,2013,True,Amador
94.0,2013,True,San Luis Obispo
92.0,2013,True,Butte
91.0,2013,True,Madera
90.0,2013,True,Riverside
85.0,2013,True,San Luis Obispo
82.0,2013,True,Mendocino
80.0,2013,True,Butte
80.0,2013,True,Fresno
75.0,2013,True,Tehama
75.0,2013,True,San Bernardino
75.0,2013,True,Madera
75.0,2013,True,San Bernardino
75.0,2013,True,Napa
73.0,2013,True,San Bernardino
73.0,2013,True,Yuba
72.0,2013,True,Butte
70.0,2013,True,Lake
68.0,2013,False,Modoc
64.0,2013,True,Ventura
60.0,2013,False,Riverside
60.0,2013,True,Riverside
52.0,2013,True,Nevada
51.0,2013,True,San Luis Obispo
50.0,2013,True,Lake
50.0,2013,True,Siskiyou
50.0,2013,True,Santa Clara
50.0,2013,True,Alameda
50.0,2013,True,San Luis Obispo
46.0,2013,True,Calaveras
46.0,2013,True,Fresno
45.0,2013,True,Mendocino
44.0,2013,False,Ventura
43.0,2013,True,Shasta
42.0,2013,True,Riverside
41.0,2013,True,San Mateo
40.0,2013,True,Santa Clara
40.0,2013,True,Orange
40.0,2013,True,San Diego
40.0,2013,True,Riverside
40.0,2013,True,Siskiyou
40.0,2013,True,Riverside
40.0,2013,True,Riverside
40.0,2013,True,Riverside
38.0,2013,True,El Dorado
38.0,2013,True,Lake
38.0,2013,True,Alameda
35.0,2013,True,Fresno
35.0,2013,True,San Luis Obispo
34.0,2013,True,Shasta
33.0,2013,True,Shasta
31.0,2013,True,Calaveras
30.0,2013,True,Lake
30.0,2013,True,Lake
30.0,2013,False,San Bernardino
28.0,2013,True,Sonoma
28.0,2013,True,Solano
28.0,2013,True,Lake
28.0,2013,True,Colusa
27.0,2013,True,Shasta
25.0,2013,True,San Diego
25.0,2013,True,Lake
25.0,2013,True,Riverside
23.0,2013,True,Lake
15.0,2013,True,Mendocino
15.0,2013,True,Riverside
15.0,2013,True,Madera
0.0,2013,False,Humboldt
0.0,2013,False,Riverside
97717.0,2014,True,El Dorado
50042.0,2014,False,Siskiyou
39736.0,2014,True,Shasta
35302.0,2014,True,Siskiyou
32496.0,2014,False,Siskiyou
32416.0,2014,True,Shasta
14416.0,2014,False,San Diego
13838.0,2014,False,Madera
13153.0,2014,True,Modoc
12661.0,2014,True,Shasta
12536.0,2014,True,Mendocino
6488.0,2014,True,Yolo
6258.0,2014,False,Shasta
5503.0,2014,True,Siskiyou
5367.0,2014,False,San Diego
4840.0,2014,False,Monterey
4772.0,2014,False,Mariposa
4689.0,2014,False,Mariposa
4300.0,2014,True,Napa
4300.0,2014,True,Lake
4240.0,2014,True,Amador
4240.0,2014,True,El Dorado
4045.0,2014,False,Kern
3895.0,2014,False,Kern
2143.0,2014,True,San Bernardino
1995.0,2014,True,San Diego
1952.0,2014,False,Los Angeles
1680.0,2014,False,Kern
1651.0,2014,False,Modoc
1548.0,2014,True,San Diego
1469.0,2014,True,Modoc
1457.0,2014,False,San Diego
1375.0,2014,True,Shasta
1080.0,2014,False,Mariposa
968.0,2014,False,Orange
865.0,2014,False,Tehama
677.0,2014,True,Mariposa
632.0,2014,True,Santa Barbara
612.0,2014,True,Madera
600.0,2014,False,San Diego
580.0,2014,True,Trinity
516.0,2014,True,Siskiyou
