"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde,Target,TotalPop,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%),Max_Voltage,Total EV Chargers,Private EV Chargers,Public EV Chargers,AcresBurned,County,Registered EV Count
0.07,1.2,0.66,0.55,1.33,1,1629615,32912042,15213192,4288.1,4775.2,17292.1,5857.1,7292.2,2247.6,3310.3,21809.9,3680.5,5458.8,1444.4,1395.3,2212.2,11570.7,826310,28294.6,4916.3,2738.6,52.1,2254.5,22.7679066374909,35.6029175784099,12.3101385849745,0.322975929978118,28.1899343544858,0.806126914660832,9255,78,12,66,6387,Alameda ,45785
0.01,0.99,0.07,0.55,0.76,1,1203,63438,27448,19.8,17.3,38.2,21.9,18.7,12.8,8.3,62.1,13.2,0,9.1,1.6,14,21.9,374,58.6,30.2,11.2,0,14.6,9.98970133882595,66.529351184346,1.54479917610711,21.2152420185376,0.720906282183316,0,0,3,0,3,0,Alpine ,11
0.02,1.85,0.22,0.55,1.89,1,37306,557620,269813,97,161.6,289.8,190.2,227,96.9,96.1,719,88.2,1.7,20.9,8.7,61.3,294.2,13444,583.5,184.2,129.8,2.6,86.5,13.0090627509464,82.5169209590455,1.8125501892853,0.676838361821728,1.74371916943903,0.240908569461971,2050,8,0,8,6285,Amador ,226
0.05,2.28,0.48,0.55,2.34,1,225207,2453092,1310594,1088.6,1125.1,1739,1168.9,1158,495.2,539.3,3806.4,596.5,56.7,158.3,178,304.1,1071,93439,3699,895.8,486.5,18.7,481.4,16.8626804803197,75.8418982101295,1.5056332516323,0.799159646557229,4.82585322650409,0.164775184857161,4140,10,2,8,190702,Butte ,982
0.02,1.76,0.21,0.55,1.77,1,45057,540543,358794,127.5,175.2,375.5,190.4,225.2,101.6,107.1,756.5,117.4,9.9,15.6,10.4,90.3,320.7,16721,648.6,179.9,164.7,6.5,78.1,9.418568625426,87.6174739233709,0.413095115150263,0.991428276360632,1.11535681090571,0.444077248786533,1680,3,0,3,2648,Calaveras ,276
0.01,1.85,0.25,0.55,1.72,0,21479,280707,130678,70.7,108.2,125.4,96,83.2,125.2,70.2,384.1,67.8,1.3,12.9,7.4,26.2,123.2,9470,372.3,73.4,53.2,1.2,30.1,55.0878626890069,41.1932979158153,1.06252554147936,1.1646914589293,1.36902329382918,0.122599100939926,1810,1,0,1,459316,Colusa ,45
0.06,1.24,0.58,0.55,1.38,1,1123678,20351592,9092551,1992.7,2369.6,8996.1,3675.7,4787.9,1614.9,1625.3,13938.9,2394.7,2224.8,363.4,412.3,1364.2,7549.1,535401,16025.2,2785.2,1852.1,38.2,1418.7,25.5774135530875,48.8055439830104,8.27278916403321,0.249458912948493,16.6568441161229,0.437950270797557,12216,40,9,31,6884,Contra Costa ,25938
0.01,1.07,0.29,0.55,0.89,0,27442,273636,138463,184.8,270.5,209.6,227.9,140.4,72.9,49.2,510.3,104.9,4,22.1,12,46.4,104.3,8742,406.4,218.4,72.2,2.8,80,19.6523860344565,66.1686232657417,1.32642171062662,10.0015246226559,2.7443207806068,0.106723585912487,1081,3,0,3,38407,Del Norte ,92
0.03,1.89,0.3,0.55,1.9,1,185015,3321762,1573240,424.9,517.3,1719.7,820.9,987.9,370.2,300.9,3241.5,370.4,73.5,86,89.3,339.3,1205.8,80373,2970.4,724.9,497.7,7.3,364.2,12.8409063013968,81.5401232294965,0.800255296168103,0.824803004639517,3.85644500085917,0.137467167439919,1845,27,0,27,114411,El Dorado ,2795
0.04,2.13,0.47,0.55,2.2,1,971616,10349292,4517524,5094.3,6941.7,5522.9,3972.7,4490.9,3067.9,2745.7,15295.8,2458.1,277.6,374.6,527.5,866,4422.6,392003,14917.5,3518.2,1324.6,39.7,2096,52.4557966879007,32.1215019100355,4.92187620501905,0.491005095141877,9.83449786374223,0.175322238160607,11591,91,24,67,214411,Fresno ,5481
0.02,2.02,0.38,0.55,1.92,0,27935,284691,142702,111.1,140.9,163.6,106.1,100,151.4,79.2,457.9,66.4,2.4,24,9.8,39.6,141,10775,422.8,96,77.4,3.7,54.3,36.9712351945854,57.4619289340102,0.829103214890017,2.52115059221658,1.86125211505922,0.355329949238579,1120,0,0,0,413201,Glenn ,65
0.03,1.09,0.37,0.55,0.92,1,135490,1338857,764609,619.4,650.4,1031,690,698.6,315.4,265,2175.2,262.4,52.6,191.7,73.4,244.5,562.5,59592,1869.4,660.9,456.8,12.9,263.9,10.7494722026742,79.5249824067558,1.04503870513723,5.73891625615764,2.58620689655172,0.355383532723434,2450,20,3,17,22925,Humboldt ,1475
0.03,2.22,0.73,0.55,2.17,1,179957,1400852,537257,756.7,1010.1,719.2,740.1,706.4,493.1,441.1,2452.4,291.3,25.8,93.6,103.9,133,639.3,59757,2171.2,745,177.8,6.4,501.4,78.6431914127696,15.7836175017181,2.78495925647151,1.51192852701509,1.1977615603626,0.0785417416631213,8044,1,0,1,0,Imperial ,288
0.01,1.06,0.2,0.55,0.82,1,18195,352010,188625,54.1,70,187.9,135.8,135.2,90.4,51,411.7,79.5,9.6,45.6,23.8,29.5,108.8,8275,362.7,181.1,56.3,0,30.5,20.8241478717992,66.9492962523317,1.18704425979312,9.44548075292522,1.40749533661184,0.186535526538918,630,4,0,4,31884,Inyo ,78
0.03,2.18,0.43,0.55,2.19,1,878744,7768236,3311271,3435.6,4577.3,3747.7,2791.5,3069.7,3169.9,1921.9,11511.7,1886.3,135.1,231.9,449.7,484,3449.7,335688,11199.7,2473.4,992.9,33.5,1657.2,51.3798106913292,38.8801497111551,5.31718694909278,0.513954056033197,3.77803693960023,0.130861652789455,25358,36,8,28,119464,Kern ,3222
