"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde,Target,Income,IncomePerCap,Poverty,ChildPoverty,Construction,Drive,Carpool,Transit,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%),Max_Voltage,Total EV Chargers,Private EV Chargers,Public EV Chargers,AcresBurned,County,Registered EV Count,Biomass,Small Hydro,Geothermal,Solar Thermal,Solar Photovoltaic ,Wind,Total
0.07,1.2,0.66,0.55,1.33,1,32912042,15213192,4288.1,4775.2,2247.6,21809.9,3680.5,5458.8,22.7679066374909,35.6029175784099,12.3101385849745,0.322975929978118,28.1899343544858,0.806126914660832,9255,78,12,66,6387,Alameda ,45785,116,0,0,0,29,764,909
0.01,0.99,0.07,0.55,0.76,1,63438,27448,19.8,17.3,12.8,62.1,13.2,0,9.98970133882595,66.529351184346,1.54479917610711,21.2152420185376,0.720906282183316,0,0,3,0,3,0,Alpine ,11,0,0,0,0,0,0,0
0.02,1.85,0.22,0.55,1.89,1,557620,269813,97,161.6,96.9,719,88.2,1.7,13.0090627509464,82.5169209590455,1.8125501892853,0.676838361821728,1.74371916943903,0.240908569461971,2050,8,0,8,6285,Amador ,226,0,78,0,0,2,0,80
0.05,2.28,0.48,0.55,2.34,1,2453092,1310594,1088.6,1125.1,495.2,3806.4,596.5,56.7,16.8626804803197,75.8418982101295,1.5056332516323,0.799159646557229,4.82585322650409,0.164775184857161,4140,10,2,8,190702,Butte ,982,3,225,0,0,16,0,244
0.02,1.76,0.21,0.55,1.77,1,540543,358794,127.5,175.2,101.6,756.5,117.4,9.9,9.418568625426,87.6174739233709,0.413095115150263,0.991428276360632,1.11535681090571,0.444077248786533,1680,3,0,3,2648,Calaveras ,276,0,202,0,0,3,0,205
0.01,1.85,0.25,0.55,1.72,0,280707,130678,70.7,108.2,125.2,384.1,67.8,1.3,55.0878626890069,41.1932979158153,1.06252554147936,1.1646914589293,1.36902329382918,0.122599100939926,1810,1,0,1,459316,Colusa ,45,188,0,0,0,0,0,188
0.06,1.24,0.58,0.55,1.38,1,20351592,9092551,1992.7,2369.6,1614.9,13938.9,2394.7,2224.8,25.5774135530875,48.8055439830104,8.27278916403321,0.249458912948493,16.6568441161229,0.437950270797557,12216,40,9,31,6884,Contra Costa ,25938,31,0,0,0,83,88,201
0.01,1.07,0.29,0.55,0.89,0,273636,138463,184.8,270.5,72.9,510.3,104.9,4,19.6523860344565,66.1686232657417,1.32642171062662,10.0015246226559,2.7443207806068,0.106723585912487,1081,3,0,3,38407,Del Norte ,92,0,0,0,0,0,0,0
0.03,1.89,0.3,0.55,1.9,1,3321762,1573240,424.9,517.3,370.2,3241.5,370.4,73.5,12.8409063013968,81.5401232294965,0.800255296168103,0.824803004639517,3.85644500085917,0.137467167439919,1845,27,0,27,114411,El Dorado ,2795,0,190,0,0,0,0,190
0.04,2.13,0.47,0.55,2.2,1,10349292,4517524,5094.3,6941.7,3067.9,15295.8,2458.1,277.6,52.4557966879007,32.1215019100355,4.92187620501905,0.491005095141877,9.83449786374223,0.175322238160607,11591,91,24,67,214411,Fresno ,5481,188,22,0,0,1981,0,2190
0.02,2.02,0.38,0.55,1.92,0,284691,142702,111.1,140.9,151.4,457.9,66.4,2.4,36.9712351945854,57.4619289340102,0.829103214890017,2.52115059221658,1.86125211505922,0.355329949238579,1120,0,0,0,413201,Glenn ,65,0,14,0,0,4,0,18
0.03,1.09,0.37,0.55,0.92,1,1338857,764609,619.4,650.4,315.4,2175.2,262.4,52.6,10.7494722026742,79.5249824067558,1.04503870513723,5.73891625615764,2.58620689655172,0.355383532723434,2450,20,3,17,22925,Humboldt ,1475,190,0,0,0,16,0,205
0.03,2.22,0.73,0.55,2.17,1,1400852,537257,756.7,1010.1,493.1,2452.4,291.3,25.8,78.6431914127696,15.7836175017181,2.78495925647151,1.51192852701509,1.1977615603626,0.0785417416631213,8044,1,0,1,0,Imperial ,288,0,218,3694,0,3733,595,8239
0.01,1.06,0.2,0.55,0.82,1,352010,188625,54.1,70,90.4,411.7,79.5,9.6,20.8241478717992,66.9492962523317,1.18704425979312,9.44548075292522,1.40749533661184,0.186535526538918,630,4,0,4,31884,Inyo ,78,0,432,1177,0,0,0,1609
0.03,2.18,0.43,0.55,2.19,1,7768236,3311271,3435.6,4577.3,3169.9,11511.7,1886.3,135.1,51.3798106913292,38.8801497111551,5.31718694909278,0.513954056033197,3.77803693960023,0.130861652789455,25358,36,8,28,119464,Kern ,3222,326,259,0,0,7086,7476,15147
0.02,1.98,0.39,0.55,1.9,1,1310588,549996,529,690,553.2,1899.1,368.3,18.6,55.2187274727776,34.829457070228,5.59244223545927,0.906779982547331,3.24012596274235,0.2124672762454,2677,9,4,5,54377,Kings ,379,0,0,0,0,1087,0,1087
0.02,1.41,0.29,0.55,1.35,1,610041,339834,362.2,469.9,235.2,1064.2,179.8,19,19.1621253405995,73.3038147138965,2.40463215258856,3.61716621253406,1.45776566757493,0.0544959128065395,2425,3,0,3,582784,Lake ,376,0,8,1120,0,5,0,1134
0.01,1.22,0.14,0.55,0.95,0,465998,221484,150.7,205.8,108.7,710.2,87.7,6.4,12.6793988021245,76.6414284099898,5.40174030963951,3.02859080122048,1.10746977059555,1.14137190643011,2076,1,0,1,151797,Lassen ,14,188,83,0,0,6,0,278
0.08,1.87,0.76,0.55,2.03,0,152253427,72886219,40173.9,51304.9,18374.4,169430.7,22429.6,15644.5,49.092130059534,27.8830712900572,7.96694453924388,0.289909900853018,14.5231852962989,0.244758914012944,33864,721,138,583,194580,Los Angeles ,154234,837,526,0,0,2734,5,4101
0.02,1.88,0.41,0.55,1.92,1,1170234,483506,497,677.8,560.8,1720.3,360.1,13.1,53.7567639492593,40.3974097400869,2.44832786303557,1.32174221591413,1.94269493479996,0.133061296904107,2745,9,2,7,44505,Madera ,574,72,238,0,0,51,0,361
