county,Total EV Chargers,Private EV Chargers,Public EV Chargers
Alameda ,78,12,66.0
Alpine ,3,0,3.0
Amador ,8,0,8.0
Butte ,10,2,8.0
Calaveras ,3,0,3.0
Colusa ,1,0,1.0
Contra Costa ,40,9,31.0
Del Norte ,3,0,3.0
El Dorado ,27,0,27.0
Fresno ,91,24,67.0
Humboldt ,20,3,17.0
Imperial ,1,0,1.0
Inyo ,4,0,4.0
Kern ,36,8,28.0
Kings ,9,4,5.0
Lake ,3,0,3.0
Lassen ,1,0,1.0
Los Angeles ,721,138,583.0
Madera ,9,2,7.0
Marin ,21,2,19.0
Mariposa ,5,0,5.0
Mendocino ,35,1,34.0
Merced ,10,2,8.0
Modoc ,2,0,2.0
Mono ,6,0,6.0
Monterey ,37,3,34.0
Napa ,78,2,76.0
Nevada ,16,0,16.0
Orange ,136,23,113.0
Placer ,33,6,27.0
Plumas ,3,0,3.0
Riverside ,135,10,125.0
Sacramento ,91,21,70.0
San Benito ,3,0,3.0
San Bernardino ,90,21,69.0
San Diego ,193,48,145.0
San Francisco ,59,15,44.0
San Joaquin ,31,7,24.0
San Luis Obispo ,87,4,83.0
San Mateo ,53,8,45.0
Santa Barbara ,52,2,50.0
Santa Clara ,147,25,122.0
Santa Cruz ,12,0,12.0
Shasta ,9,3,6.0
Sierra ,1,0,1.0
Siskiyou ,6,0,6.0
Solano ,43,8,35.0
Sonoma ,64,2,62.0
Stanislaus ,24,6,18.0
Sutter ,1,0,1.0
Tehama ,2,0,2.0
Trinity ,3,0,3.0
Tulare ,8,3,5.0
Tuolumne ,9,0,9.0
Ventura ,45,6,39.0
Yolo ,47,7,40.0
Yuba ,4,3,1.0
Glenn,0,0,0.0
