County,Registered EV Count
Los Angeles ,154234
Orange ,76706
Santa Clara ,73092
San Diego ,51616
Alameda ,45785
Contra Costa ,25938
San Mateo ,24890
Riverside ,22953
San Bernardino ,17279
San Francisco ,16134
Sacramento ,15855
Ventura ,13080
Sonoma ,9868
Marin ,9657
Placer ,6339
San Joaquin ,5918
Fresno ,5481
Santa Cruz ,5420
Solano ,5139
Santa Barbara ,5088
San Luis Obispo ,3964
Monterey ,3429
Kern ,3222
Yolo ,2948
El Dorado ,2795
Stanislaus ,2606
Napa ,2365
Humboldt ,1475
Tulare ,1391
Nevada ,1113
Butte ,982
Merced ,968
Mendocino ,924
Shasta ,734
San Benito ,718
Madera ,574
Kings ,379
Lake ,376
Sutter ,364
Yuba ,289
Imperial ,288
Calaveras ,276
Tuolumne ,240
Amador ,226
Tehama ,143
Siskiyou ,98
Del Norte ,92
Mariposa ,81
Inyo ,78
Mono ,67
Glenn ,65
Plumas ,52
Trinity ,47
Colusa ,45
Lassen ,14
Alpine ,11
Sierra ,7
Modoc ,1
