County,"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde
Alameda,0.07,1.2,0.66,0.55,1.33
Alpine,0.01,0.99,0.07,0.55,0.76
Amador,0.02,1.85,0.22,0.55,1.89
Butte,0.05,2.28,0.48,0.55,2.34
Calaveras,0.02,1.76,0.21,0.55,1.77
Colusa,0.01,1.85,0.25,0.55,1.72
Contra Costa,0.06,1.24,0.58,0.55,1.38
Del Norte,0.01,1.07,0.29,0.55,0.89
El Dorado,0.03,1.89,0.3,0.55,1.9
Fresno,0.04,2.13,0.47,0.55,2.2
Glenn,0.02,2.02,0.38,0.55,1.92
Humboldt,0.03,1.09,0.37,0.55,0.92
Imperial,0.03,2.22,0.73,0.55,2.17
Inyo,0.01,1.06,0.2,0.55,0.82
Kern,0.03,2.18,0.43,0.55,2.19
Kings,0.02,1.98,0.39,0.55,1.9
Lake,0.02,1.41,0.29,0.55,1.35
Lassen,0.01,1.22,0.14,0.55,0.95
Los Angeles,0.08,1.87,0.76,0.55,2.03
Madera,0.02,1.88,0.41,0.55,1.92
Marin,0.04,1.07,0.45,0.55,1.07
Mariposa,0.01,1.77,0.13,0.55,1.6
Mendocino,0.02,1.31,0.35,0.55,1.16
Merced,0.03,1.82,0.5,0.55,1.89
Modoc,0.01,1.08,0.2,0.55,0.8
Mono,0.0,0.78,0.07,0.55,0.55
Monterey,0.03,0.97,0.41,0.55,1.07
Napa,0.03,1.32,0.4,0.55,1.31
Nevada,0.02,2.03,0.25,0.55,2.02
Orange,0.07,1.56,0.69,0.55,1.74
Placer,0.05,2.08,0.51,0.55,2.23
Plumas,0.01,1.47,0.12,0.55,1.2
Riverside,0.03,1.81,0.42,0.55,1.9
Sacramento,0.09,2.02,0.8,0.55,2.33
San Benito,0.02,1.13,0.41,0.55,1.24
San Bernardino,0.03,1.73,0.48,0.55,1.77
San Diego,0.05,1.5,0.82,0.55,1.57
San Francisco,0.15,1.4,1.51,0.55,1.69
San Joaquin,0.05,1.65,0.6,0.55,1.76
San Luis Obispo,0.02,1.13,0.29,0.55,1.22
San Mateo,0.06,0.96,0.53,0.55,1.02
Santa Barbara,0.03,1.19,0.37,0.55,1.36
Santa Clara,0.06,1.37,0.67,0.55,1.49
Santa Cruz,0.04,1.2,0.44,0.55,1.25
Shasta,0.03,1.96,0.38,0.55,1.91
Sierra,0.01,1.26,0.12,0.55,1.01
Siskiyou,0.01,1.19,0.19,0.55,0.97
Solano,0.04,1.31,0.48,0.55,1.37
Sonoma,0.04,1.34,0.46,0.55,1.29
Stanislaus,0.04,1.82,0.55,0.55,1.92
Sutter,0.06,2.29,0.58,0.55,2.43
Tehama,0.02,2.04,0.3,0.55,1.92
Trinity,0.01,1.28,0.1,0.55,1.01
Tulare,0.03,2.36,0.45,0.55,2.39
Tuolumne,0.02,1.78,0.23,0.55,1.79
Ventura,0.03,1.43,0.41,0.55,1.55
Yolo,0.05,1.82,0.59,0.55,1.89
Yuba,0.04,2.28,0.45,0.55,2.37
