county,Biomass,Small Hydro,Geothermal,Solar Thermal,Solar Photovoltaic ,Wind,Total
Alameda,116.0,0.0,0.0,0.0,29.0,764.0,909
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0
Amador,0.0,78.0,0.0,0.0,2.0,0.0,80
Butte,3.0,225.0,0.0,0.0,16.0,0.0,244
Calaveras,0.0,202.0,0.0,0.0,3.0,0.0,205
Colusa,188.0,0.0,0.0,0.0,0.0,0.0,188
Contra Costa,31.0,0.0,0.0,0.0,83.0,88.0,201
Del Norte,0.0,0.0,0.0,0.0,0.0,0.0,0
El Dorado,0.0,190.0,0.0,0.0,0.0,0.0,190
Fresno,188.0,22.0,0.0,0.0,1981.0,0.0,2190
Glenn,0.0,14.0,0.0,0.0,4.0,0.0,18
Humboldt,190.0,0.0,0.0,0.0,16.0,0.0,205
Imperial,0.0,218.0,3694.0,0.0,3733.0,595.0,8239
Inyo,0.0,432.0,1177.0,0.0,0.0,0.0,1609
Kern,326.0,259.0,0.0,0.0,7086.0,7476.0,15147
Kings,0.0,0.0,0.0,0.0,1087.0,0.0,1087
Lake,0.0,8.0,1120.0,0.0,5.0,0.0,1134
Lassen,188.0,83.0,0.0,0.0,6.0,0.0,278
Los Angeles,837.0,526.0,0.0,0.0,2734.0,5.0,4101
Madera,72.0,238.0,0.0,0.0,51.0,0.0,361
Marin,28.0,0.0,0.0,0.0,4.0,0.0,32
Mariposa,0.0,46.0,0.0,0.0,0.0,0.0,46
Mendocino,0.0,33.0,0.0,0.0,12.0,0.0,45
Merced,47.0,20.0,0.0,0.0,327.0,14.0,407
Modoc,0.0,0.0,0.0,0.0,0.0,0.0,0
Mono,0.0,87.0,208.0,0.0,0.0,0.0,295
Monterey,55.0,0.0,0.0,0.0,360.0,12.0,427
Napa,0.0,0.0,0.0,0.0,3.0,0.0,3
Nevada,0.0,303.0,0.0,0.0,0.0,0.0,303
Orange,499.0,22.0,0.0,0.0,5.0,0.0,526
Placer,292.0,354.0,0.0,0.0,8.0,0.0,653
Plumas,160.0,7.0,0.0,0.0,0.0,0.0,167
Riverside,356.0,42.0,0.0,617.0,2775.0,1522.0,5311
Sacramento,115.0,40.0,0.0,0.0,283.0,0.0,438
San Benito,0.0,0.0,0.0,0.0,393.0,0.0,393
San Bernardino,0.0,95.0,0.0,1686.0,1520.0,7.0,3308
San Diego,160.0,16.0,0.0,0.0,342.0,556.0,1074
San Francisco,3.0,0.0,0.0,0.0,23.0,0.0,25
San Joaquin,439.0,62.0,0.0,0.0,66.0,5.0,572
San Luis Obispo,11.0,13.0,0.0,0.0,2209.0,0.0,2234
San Mateo,87.0,0.0,0.0,0.0,0.0,0.0,87
Santa Barbara,32.0,0.0,0.0,0.0,104.0,0.0,136
Santa Clara,14.0,0.0,0.0,0.0,48.0,0.0,62
Santa Cruz,29.0,0.0,0.0,0.0,2.0,0.0,31
Shasta,710.0,320.0,0.0,0.0,14.0,252.0,1297
Sierra,0.0,28.0,0.0,0.0,0.0,0.0,28
Siskiyou,49.0,323.0,0.0,0.0,0.0,0.0,371
Solano,76.0,0.0,0.0,0.0,42.0,2390.0,2507
Sonoma ,37.0,0.0,4744.0,0.0,23.0,0.0,4804
Stanislaus,147.0,48.0,0.0,0.0,118.0,0.0,313
Sutter,0.0,0.0,0.0,0.0,4.0,0.0,4
Tehama,0.0,43.0,0.0,0.0,12.0,2.0,57
Trinity,0.0,23.0,0.0,0.0,0.0,0.0,23
Tulare,0.0,100.0,0.0,0.0,737.0,0.0,837
Tuolumne,169.0,774.0,0.0,0.0,4.0,0.0,947
Ventura,6.0,2.0,0.0,0.0,6.0,0.0,15
Yolo,204.0,45.0,0.0,0.0,21.0,2.0,272
Yuba,27.0,6.0,0.0,0.0,2.0,0.0,34
