County,Income,IncomePerCap,Poverty,ChildPoverty,Construction,Drive,Carpool,Transit,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%)
Alameda ,32912042.0,15213192.0,4288.1,4775.2,2247.6,21809.9,3680.5,5458.8,22.76790663749088,35.60291757840992,12.31013858497447,0.3229759299781182,28.18993435448578,0.8061269146608315
Alpine ,63438.0,27448.0,19.8,17.3,12.8,62.1,13.2,0.0,9.989701338825952,66.52935118434601,1.544799176107106,21.215242018537587,0.7209062821833161,0.0
Amador ,557620.0,269813.0,97.0,161.6,96.9,719.0,88.2,1.7,13.009062750946429,82.51692095904555,1.8125501892853046,0.6768383618217277,1.7437191694390273,0.2409085694619709
Butte ,2453092.0,1310594.0,1088.6,1125.1,495.2,3806.4,596.5,56.7,16.862680480319664,75.84189821012954,1.505633251632304,0.7991596465572286,4.825853226504089,0.1647751848571605
Calaveras ,540543.0,358794.0,127.5,175.2,101.6,756.5,117.4,9.9,9.418568625426005,87.61747392337085,0.4130951151502633,0.991428276360632,1.115356810905711,0.44407724878653315
Colusa ,280707.0,130678.0,70.7,108.2,125.2,384.1,67.8,1.3,55.08786268900694,41.19329791581529,1.0625255414793624,1.1646914589293014,1.3690232938291786,0.12259910093992644
Contra Costa ,20351592.0,9092551.0,1992.7,2369.6,1614.9,13938.9,2394.7,2224.8,25.577413553087496,48.805543983010374,8.272789164033206,0.24945891294849257,16.65684411612287,0.43795027079755716
Del Norte ,273636.0,138463.0,184.8,270.5,72.9,510.3,104.9,4.0,19.65238603445647,66.16862326574172,1.3264217106266198,10.00152462265589,2.7443207806067993,0.10672358591248665
El Dorado ,3321762.0,1573240.0,424.9,517.3,370.2,3241.5,370.4,73.5,12.840906301396767,81.54012322949653,0.800255296168103,0.8248030046395171,3.8564450008591704,0.1374671674399195
Fresno ,10349292.0,4517524.0,5094.3,6941.7,3067.9,15295.8,2458.1,277.6,52.455796687900715,32.12150191003553,4.921876205019049,0.49100509514187735,9.83449786374223,0.17532223816060755
Glenn ,284691.0,142702.0,111.1,140.9,151.4,457.9,66.4,2.4,36.97123519458545,57.46192893401015,0.829103214890017,2.521150592216582,1.8612521150592216,0.3553299492385787
Humboldt ,1338857.0,764609.0,619.4,650.4,315.4,2175.2,262.4,52.6,10.749472202674175,79.52498240675581,1.0450387051372274,5.738916256157637,2.5862068965517246,0.3553835327234343
Imperial ,1400852.0,537257.0,756.7,1010.1,493.1,2452.4,291.3,25.8,78.64319141276958,15.783617501718103,2.784959256471512,1.5119285270150866,1.197761560362601,0.07854174166312139
Inyo ,352010.0,188625.0,54.1,70.0,90.4,411.7,79.5,9.6,20.824147871799216,66.94929625233169,1.187044259793115,9.445480752925215,1.4074953366118363,0.18653552653891808
Kern ,7768236.0,3311271.0,3435.6,4577.3,3169.9,11511.7,1886.3,135.1,51.37981069132923,38.88014971115511,5.317186949092783,0.5139540560331968,3.778036939600228,0.13086165278945514
Kings ,1310588.0,549996.0,529.0,690.0,553.2,1899.1,368.3,18.6,55.21872747277763,34.82945707022802,5.59244223545927,0.9067799825473307,3.2401259627423453,0.21246727624539968
Lake ,610041.0,339834.0,362.2,469.9,235.2,1064.2,179.8,19.0,19.16212534059946,73.30381471389646,2.404632152588556,3.6171662125340607,1.457765667574932,0.05449591280653951
Lassen ,465998.0,221484.0,150.7,205.79999999999998,108.7,710.2,87.7,6.3999999999999995,12.679398802124533,76.64142840998983,5.401740309639507,3.0285908012204765,1.1074697705955474,1.141371906430105
Los Angeles ,152253427.0,72886219.0,40173.9,51304.9,18374.4,169430.7,22429.6,15644.5,49.09213005953404,27.88307129005717,7.96694453924388,0.28990990085301854,14.523185296298943,0.2447589140129439
Madera ,1170234.0,483506.0,497.0,677.8,560.8,1720.3,360.09999999999997,13.1,53.75676394925928,40.39740974008693,2.448327863035572,1.321742215914131,1.9426949347999645,0.13306129690410715
Marin ,6015530.0,3734706.0,431.7,439.6,304.3,3493.5,415.1,516.0,15.357244791171157,76.31814289791649,2.54780705927124,0.1693463990105604,5.4837788982970235,0.12367995433355534
Mariposa ,338083.0,174015.0,88.9,102.4,46.7,373.29999999999995,82.4,13.7,11.195445920303609,83.78471623253408,1.1730205278592378,2.2425392444367778,1.3455235466620667,0.2587545282042436
Mendocino ,947760.0,549450.0,382.3,510.7,313.3,1461.9,202.2,7.3,23.813233613794534,69.45050379141996,0.6855718292302897,3.9835878259063056,1.8074166406980365,0.25968629895086737
Merced ,2310399.0,991764.0,1206.0,1656.3,1034.0,3786.2,506.3,47.2,58.69787216305775,30.902611341516785,3.163620448908989,0.3918054310901778,6.7107100431402795,0.13338057228601793
Modoc ,169824.0,90805.0,66.1,69.6,86.6,267.0,30.2,1.8,14.510800508259209,77.91613722998729,0.6607369758576872,5.540025412960609,1.2960609911054632,0.07623888182973314
Mono ,174361.0,91981.0,33.9,51.6,26.1,165.8,28.5,32.7,22.644067796610166,72.03389830508475,0.4406779661016948,3.4576271186440675,1.4237288135593222,0.0
Monterey ,6159429.0,2722534.0,1359.1,1726.2,1753.3,6484.4,954.0,142.9,53.83610188261352,37.22148394241418,2.4695459579180516,0.24806201550387602,5.756367663344408,0.46843853820598025
Napa ,3354544.0,1724488.0,349.5,320.7,466.4,2974.2,456.7,57.0,31.984878098961005,58.49963995473716,2.157699825120872,0.27774920275691795,6.851147001337308,0.22888591708671943
Nevada ,1326905.0,727577.0,246.4,287.2,163.2,1493.3,171.6,18.9,8.816406451280464,88.62266192610913,0.5152779924769413,0.6801669500695624,1.2160560622455816,0.14943061781831296
Orange ,50327365.0,22690649.0,6600.3,7999.8,3897.9,45744.1,5563.6,1219.1,33.5831983189829,45.65790311511713,1.5959403720028582,0.22321586495263296,18.62066037936085,0.319081949583637
Placer ,6895002.0,3351340.0,758.4,823.3,673.7,6552.2,653.3,136.1,13.672631306342414,78.86273107326518,1.2776085535646018,0.36133137663554865,5.66291358877283,0.16278410141942803
Plumas ,359342.0,250435.0,75.5,81.1,97.0,526.4,76.9,1.6,7.973273942093543,88.24053452115814,0.5642167780252414,1.9005196733481815,1.0393466963622868,0.28210838901262064
