AcresBurned,ArchiveYear,CalFireIncident,Counties
257314.0,2013,1,Tuolumne
30274.0,2013,1,Los Angeles
27531.0,2013,1,Riverside
27440.0,2013,0,Placer
24251.0,2013,1,Ventura
22992.0,2013,0,Fresno
20292.0,2013,1,Riverside
14754.0,2013,0,Siskiyou
12503.0,2013,0,Humboldt
11429.0,2013,1,Tehama
8073.0,2013,1,Shasta
7055.0,2013,1,San Diego
6965.0,2013,1,Tehama
4346.0,2013,1,Kern
4346.0,2013,1,Ventura
3505.0,2013,1,Sonoma
3166.0,2013,1,Riverside
3111.0,2013,1,Contra Costa
2781.0,2013,1,San Diego
2462.0,2013,1,Butte
2236.0,2013,0,San Diego
2060.0,2013,0,Tulare
1984.0,2013,0,Santa Barbara
1708.0,2013,1,Mariposa
1383.0,2013,1,Riverside
1271.0,2013,1,San Diego
1070.0,2013,0,Tuolumne
917.0,2013,0,Monterey
794.0,2013,0,Kern
712.0,2013,1,Kern
712.0,2013,1,Los Angeles
612.0,2013,1,Kern
572.0,2013,0,El Dorado
534.0,2013,1,San Bernardino
513.0,2013,0,Plumas
510.0,2013,1,Riverside
502.0,2013,1,Modoc
500.0,2013,0,San Luis Obispo
492.0,2013,1,Contra Costa
482.0,2013,1,Madera
413.0,2013,0,San Bernardino
406.0,2013,1,Inyo
376.0,2013,1,Napa
354.0,2013,1,San Benito
311.0,2013,1,Riverside
305.0,2013,1,Butte
303.0,2013,1,San Joaquin
298.0,2013,1,Butte
296.0,2013,1,Lake
274.0,2013,1,Contra Costa
274.0,2013,1,Madera
268.0,2013,0,Los Angeles
263.0,2013,1,San Diego
243.0,2013,0,San Bernardino
240.0,2013,1,Alameda
237.0,2013,1,Placer
226.0,2013,0,Glenn
217.0,2013,1,Glenn
213.0,2013,0,Monterey
200.0,2013,0,San Bernardino
200.0,2013,1,Tehama
196.0,2013,1,Shasta
195.0,2013,1,Tehama
190.0,2013,1,Napa
170.0,2013,1,Santa Barbara
163.0,2013,1,Yolo
163.0,2013,1,El Dorado
163.0,2013,1,Sacramento
159.0,2013,1,Sonoma
158.0,2013,1,Sonoma
150.0,2013,1,Alameda
150.0,2013,1,Riverside
150.0,2013,1,Stanislaus
150.0,2013,1,Fresno
150.0,2013,1,Butte
149.0,2013,1,Los Angeles
134.0,2013,0,Tulare
125.0,2013,1,Sonoma
124.0,2013,1,Solano
124.0,2013,1,Merced
124.0,2013,1,Riverside
120.0,2013,1,Lake
116.0,2013,1,El Dorado
110.0,2013,0,San Bernardino
108.0,2013,1,Fresno
105.0,2013,1,Monterey
100.0,2013,0,Los Angeles
100.0,2013,1,Tuolumne
100.0,2013,1,San Diego
98.0,2013,1,Mendocino
97.0,2013,0,Modoc
97.0,2013,0,San Bernardino
97.0,2013,1,Lassen
96.0,2013,1,Amador
94.0,2013,1,San Luis Obispo
92.0,2013,1,Butte
91.0,2013,1,Madera
90.0,2013,1,Riverside
85.0,2013,1,San Luis Obispo
82.0,2013,1,Mendocino
80.0,2013,1,Butte
80.0,2013,1,Fresno
75.0,2013,1,Tehama
75.0,2013,1,San Bernardino
75.0,2013,1,Madera
75.0,2013,1,San Bernardino
75.0,2013,1,Napa
73.0,2013,1,San Bernardino
73.0,2013,1,Yuba
72.0,2013,1,Butte
70.0,2013,1,Lake
68.0,2013,0,Modoc
64.0,2013,1,Ventura
60.0,2013,0,Riverside
60.0,2013,1,Riverside
52.0,2013,1,Nevada
51.0,2013,1,San Luis Obispo
50.0,2013,1,Lake
50.0,2013,1,Siskiyou
50.0,2013,1,Santa Clara
50.0,2013,1,Alameda
50.0,2013,1,San Luis Obispo
46.0,2013,1,Calaveras
46.0,2013,1,Fresno
45.0,2013,1,Mendocino
44.0,2013,0,Ventura
43.0,2013,1,Shasta
42.0,2013,1,Riverside
41.0,2013,1,San Mateo
40.0,2013,1,Santa Clara
40.0,2013,1,Orange
40.0,2013,1,San Diego
40.0,2013,1,Riverside
40.0,2013,1,Siskiyou
40.0,2013,1,Riverside
40.0,2013,1,Riverside
40.0,2013,1,Riverside
38.0,2013,1,El Dorado
38.0,2013,1,Lake
38.0,2013,1,Alameda
35.0,2013,1,Fresno
35.0,2013,1,San Luis Obispo
34.0,2013,1,Shasta
33.0,2013,1,Shasta
31.0,2013,1,Calaveras
30.0,2013,1,Lake
30.0,2013,1,Lake
30.0,2013,0,San Bernardino
28.0,2013,1,Sonoma
28.0,2013,1,Solano
28.0,2013,1,Lake
28.0,2013,1,Colusa
27.0,2013,1,Shasta
25.0,2013,1,San Diego
25.0,2013,1,Lake
25.0,2013,1,Riverside
23.0,2013,1,Lake
15.0,2013,1,Mendocino
15.0,2013,1,Riverside
15.0,2013,1,Madera
0.0,2013,0,Humboldt
0.0,2013,0,Riverside
97717.0,2014,1,El Dorado
50042.0,2014,0,Siskiyou
39736.0,2014,1,Shasta
35302.0,2014,1,Siskiyou
32496.0,2014,0,Siskiyou
32416.0,2014,1,Shasta
14416.0,2014,0,San Diego
13838.0,2014,0,Madera
13153.0,2014,1,Modoc
12661.0,2014,1,Shasta
12536.0,2014,1,Mendocino
6488.0,2014,1,Yolo
6258.0,2014,0,Shasta
5503.0,2014,1,Siskiyou
5367.0,2014,0,San Diego
4840.0,2014,0,Monterey
4772.0,2014,0,Mariposa
4689.0,2014,0,Mariposa
4300.0,2014,1,Napa
4300.0,2014,1,Lake
4240.0,2014,1,Amador
4240.0,2014,1,El Dorado
4045.0,2014,0,Kern
3895.0,2014,0,Kern
2143.0,2014,1,San Bernardino
1995.0,2014,1,San Diego
1952.0,2014,0,Los Angeles
1680.0,2014,0,Kern
1651.0,2014,0,Modoc
1548.0,2014,1,San Diego
1469.0,2014,1,Modoc
1457.0,2014,0,San Diego
1375.0,2014,1,Shasta
1080.0,2014,0,Mariposa
968.0,2014,0,Orange
865.0,2014,0,Tehama
677.0,2014,1,Mariposa
632.0,2014,1,Santa Barbara
612.0,2014,1,Madera
600.0,2014,0,San Diego
580.0,2014,1,Trinity
516.0,2014,1,Siskiyou
487.0,2014,1,Tuolumne
459.0,2014,1,Placer
403.0,2014,1,Mendocino
400.0,2014,1,Monterey
389.0,2014,1,Butte
380.0,2014,1,San Diego
350.0,2014,1,Riverside
333.0,2014,1,Humboldt
320.0,2014,1,Madera
311.0,2014,0,Mariposa
300.0,2014,1,Mariposa
300.0,2014,1,Merced
274.0,2014,0,Los Angeles
269.0,2014,1,Tuolumne
247.0,2014,1,Nevada
225.0,2014,1,Tehama
217.0,2014,1,San Diego
210.0,2014,0,Humboldt
190.0,2014,0,Los Angeles
175.0,2014,1,Lake
143.0,2014,1,Shasta
130.0,2014,1,Mariposa
125.0,2014,1,Santa Clara
125.0,2014,0,San Diego
120.0,2014,1,Calaveras
120.0,2014,1,Placer
113.0,2014,1,Inyo
106.0,2014,1,Fresno
105.0,2014,0,San Diego
101.0,2014,1,Modoc
100.0,2014,1,Lake
100.0,2014,1,Riverside
94.0,2014,0,El Dorado
90.0,2014,1,Mariposa
85.0,2014,1,Calaveras
84.0,2014,1,Nevada
80.0,2014,1,Santa Clara
80.0,2014,1,Contra Costa
79.0,2014,0,Mariposa
78.0,2014,1,Riverside
75.0,2014,1,Shasta
75.0,2014,1,Monterey
72.0,2014,1,Butte
70.0,2014,1,Tuolumne
70.0,2014,0,Kern
70.0,2014,1,Solano
65.0,2014,0,Inyo
62.0,2014,1,Mendocino
60.0,2014,1,Butte
57.0,2014,1,Riverside
56.0,2014,1,San Diego
50.0,2014,1,Shasta
48.0,2014,1,San Bernardino
47.0,2014,1,San Luis Obispo
40.0,2014,1,Fresno
38.0,2014,1,Nevada
37.0,2014,1,Humboldt
37.0,2014,1,Stanislaus
31.0,2014,1,Riverside
30.0,2014,1,Siskiyou
30.0,2014,1,El Dorado
29.0,2014,1,San Diego
27.0,2014,1,Napa
25.0,2014,1,Ventura
25.0,2014,1,Shasta
25.0,2014,1,Fresno
20.0,2014,0,El Dorado
20.0,2014,1,San Diego
18.0,2014,1,Humboldt
15.0,2014,0,Trinity
14.0,2014,1,Placer
14.0,2014,1,Riverside
10.0,2014,1,Madera
6.0,2014,1,Napa
0.0,2014,0,Siskiyou
151623.0,2015,0,Fresno
77081.0,2015,0,Trinity
69438.0,2015,1,Lake
36503.0,2015,0,Trinity
31359.0,2015,1,San Bernardino
30361.0,2015,0,Del Norte
29416.0,2015,0,Trinity
25118.0,2015,1,Lake
25118.0,2015,1,Napa
10570.0,2015,0,Lassen
7509.0,2015,0,Del Norte
7000.0,2015,1,Inyo
7000.0,2015,1,Mono
6980.0,2015,0,Tulare
5702.0,2015,1,Madera
4883.0,2015,1,Humboldt
4863.0,2015,0,Modoc
4250.0,2015,1,San Bernardino
3676.0,2015,0,Mono
2700.0,2015,1,Alameda
2446.0,2015,1,San Luis Obispo
2304.0,2015,1,Nevada
1850.0,2015,0,San Diego
1791.0,2015,1,San Luis Obispo
1542.0,2015,0,Trinity
1450.0,2015,1,Merced
1333.0,2015,1,Merced
1086.0,2015,1,Monterey
1049.0,2015,1,Riverside
1042.0,2015,1,Butte
920.0,2015,1,Madera
860.0,2015,1,Butte
673.0,2015,1,Lake
670.0,2015,1,San Benito
543.0,2015,1,Riverside
509.0,2015,0,Mono
500.0,2015,0,Madera
430.0,2015,1,Tulare
415.0,2015,0,Mariposa
415.0,2015,0,Los Angeles
400.0,2015,1,Butte
374.0,2015,0,Los Angeles
355.0,2015,1,Amador
300.0,2015,0,Los Angeles
300.0,2015,1,Alameda
282.0,2015,0,Ventura
275.0,2015,1,Merced
242.0,2015,1,Alameda
227.0,2015,0,Mendocino
215.0,2015,1,Santa Clara
215.0,2015,1,Lake
214.0,2015,1,Orange
212.0,2015,1,Shasta
211.0,2015,0,Santa Barbara
204.0,2015,1,Tuolumne
200.0,2015,0,Los Angeles
200.0,2015,0,Siskiyou
195.0,2015,1,Contra Costa
186.0,2015,0,Ventura
181.0,2015,1,Siskiyou
171.0,2015,1,San Diego
